campaign_id,campaign_name,platform,ad_type,start_date,end_date,status,total_budget,daily_budget,impressions,clicks,ctr,cpc,conversions,conversion_rate,cost_per_conversion,targeting_method,age_range,gender_targeting,total_spent,roas
70,Team-oriented coherent moratorium Also Ad Campaign,Facebook,Retargeting,2025-06-01,2025-07-06,Scheduled,10632.35,1329.04,128,92,0.7188,0.72,7,0.0761,9.46,Behavioral,18-24,Male,66.24,4.86
71,Digitized intermediate capacity Analysis Ad Campaign,Snapchat,Native,2024-11-20,2025-07-06,Active,12408.88,443.17,81117,3598,0.0444,2.1,143,0.0397,52.84,Behavioral,25-54,Female,7555.8,3.41
72,Balanced heuristic database Rest Ad Campaign,LinkedIn,Video,2024-10-30,2024-11-27,Paused,16979.53,2425.65,436,62,0.1422,3.91,9,0.1452,26.94,Custom Audience,55+,Female,242.42,4.6
73,Vision-oriented next generation installation Pressure Ad Campaign,LinkedIn,Influencer,2025-05-01,2025-07-25,Completed,11766.67,470.67,10141,269,0.0265,2.48,338,1.2565,1.97,Custom Audience,55+,Female,667.12,4.92
74,Front-line cohesive website Talk Ad Campaign,YouTube,Influencer,2024-10-03,2025-02-04,Draft,12700.33,705.57,969,26,0.0268,1.09,2,0.0769,14.17,Demographic,18-34,All,28.34,3.43
75,Enhanced user-facing groupware Stay Ad Campaign,YouTube,Social,2025-07-06,2025-07-26,Draft,14242.73,712.14,525,93,0.1771,0.84,6,0.0645,13.02,Custom Audience,55+,Non-binary,78.12,5.89
76,User-centric dynamic flexibility Collection Ad Campaign,Instagram,Banner,2025-05-15,2025-05-23,Draft,16203.59,578.7,535,58,0.1084,4.92,6,0.1034,47.56,Interest-based,35-44,Female,285.36,5.06
77,Automated methodical definition Decision Ad Campaign,YouTube,Retargeting,2025-05-25,2025-06-25,Draft,3947.73,151.84,655,47,0.0718,1.24,5,0.1064,11.66,Behavioral,35-44,All,58.28,3.46
78,Integrated discrete definition Agent Ad Campaign,Facebook,Influencer,2025-03-29,2025-05-17,Draft,21200.38,757.16,523,98,0.1874,2.25,9,0.0918,24.5,Behavioral,45-54,Non-binary,220.5,5.33
79,Grass-roots asymmetric throughput Family Ad Campaign,TikTok,Video,2024-12-06,2025-04-06,Active,1692.37,60.44,13686,4762,0.3479,2.91,491,0.1031,28.22,Interest-based,35-44,Female,13857.42,7.31
80,Synergistic national groupware Wrong Ad Campaign,TikTok,Video,2024-08-10,2025-06-18,Draft,19754.62,759.79,535,96,0.1794,0.71,8,0.0833,8.52,Custom Audience,18-34,All,68.16,3.23
81,Fundamental context-sensitive paradigm Evidence Ad Campaign,YouTube,Banner,2024-08-14,2025-03-11,Completed,10984.11,915.34,39293,1668,0.0425,1.37,239,0.1433,9.56,Custom Audience,25-34,Non-binary,2285.16,2.95
82,Monitored upward-trending toolset Former Ad Campaign,LinkedIn,Native,2025-01-06,2025-07-28,Completed,17876.41,1986.27,7207,1770,0.2456,4.83,286,0.1616,29.89,Demographic,18-34,Male,8549.1,2.04
83,Customizable human-resource orchestration Customer Ad Campaign,Google Ads,Social,2024-11-01,2025-05-13,Completed,15164.64,1516.46,62589,4603,0.0735,3.08,305,0.0663,46.48,Lookalike,45-54,Female,14177.24,6.4
84,Adaptive multi-state workforce Nothing Ad Campaign,Instagram,Display,2025-04-08,2025-07-25,Active,24838.08,1241.9,99830,1554,0.0156,4.27,436,0.2806,15.22,Lookalike,35-44,Non-binary,6635.58,6.12
85,User-centric static customer loyalty Himself Ad Campaign,TikTok,Display,2025-01-04,2025-07-21,Scheduled,14389.0,959.27,904,66,0.073,4.18,0,0.0,0.0,Interest-based,35-44,Female,275.88,0.0
86,Managed regional functionalities Record Ad Campaign,LinkedIn,Banner,2025-06-06,2025-07-16,Paused,14322.2,716.11,639,87,0.1362,3.31,9,0.1034,32.0,Interest-based,25-34,Male,287.97,5.91
87,Innovative motivating function Reflect Ad Campaign,Snapchat,Banner,2024-12-27,2025-03-24,Active,24215.09,1729.65,71535,73,0.001,1.41,131,1.7945,0.79,Custom Audience,55+,All,102.93,3.51
88,Implemented neutral capacity Dark Ad Campaign,Facebook,Banner,2024-12-31,2025-07-19,Completed,9953.84,398.15,87458,3051,0.0349,1.13,491,0.1609,7.02,Lookalike,25-54,All,3447.63,2.53
89,Synergistic value-added conglomeration Power Ad Campaign,TikTok,Influencer,2025-02-24,2025-04-29,Paused,8017.87,572.71,138,43,0.3116,1.16,0,0.0,0.0,Lookalike,18-24,Male,49.88,0.0
90,Adaptive exuding forecast Develop Ad Campaign,YouTube,Video,2025-01-04,2025-05-05,Paused,23754.97,879.81,885,96,0.1085,3.15,8,0.0833,37.8,Behavioral,55+,All,302.4,4.59
91,Streamlined fresh-thinking Local Area Network Letter Ad Campaign,Google Ads,Display,2025-01-08,2025-02-20,Active,24027.47,828.53,35705,351,0.0098,3.17,181,0.5157,6.15,Geographic,25-34,Non-binary,1112.67,7.54
92,Phased user-facing concept Reason Ad Campaign,Instagram,Video,2024-08-31,2025-02-19,Active,23547.9,905.69,55969,2008,0.0359,2.1,109,0.0543,38.69,Custom Audience,25-54,All,4216.8,6.01
93,Sharable regional groupware Better Ad Campaign,Facebook,Retargeting,2025-05-26,2025-07-15,Draft,22633.55,1616.68,572,99,0.1731,1.54,5,0.0505,30.49,Custom Audience,35-44,All,152.46,2.15
94,Synergistic fault-tolerant definition Sure Ad Campaign,Facebook,Influencer,2024-10-11,2024-10-18,Scheduled,11958.55,498.27,700,10,0.0143,2.56,8,0.8,3.2,Behavioral,25-54,Non-binary,25.6,7.13
95,Fully-configurable methodical pricing structure To Ad Campaign,Twitter,Banner,2025-05-08,2025-06-15,Completed,5500.14,189.66,42617,3671,0.0861,4.26,228,0.0621,68.59,Geographic,35-44,Non-binary,15638.46,5.64
96,Self-enabling object-oriented core Serious Ad Campaign,Google Ads,Native,2025-04-11,2025-06-05,Active,8577.18,306.33,62627,4863,0.0777,4.55,205,0.0422,107.93,Interest-based,45-54,Female,22126.65,5.48
97,Fully-configurable client-server projection Rise Ad Campaign,Instagram,Video,2024-08-02,2025-05-02,Paused,12220.15,555.46,374,85,0.2273,2.38,4,0.0471,50.57,Demographic,45-54,All,202.3,2.19
98,Visionary bi-directional time-frame Large Ad Campaign,LinkedIn,Influencer,2024-10-19,2025-06-05,Active,17963.38,781.02,3499,2975,0.8502,0.85,227,0.0763,11.14,Custom Audience,55+,Non-binary,2528.75,7.22
99,Total multi-state Local Area Network Apply Ad Campaign,Google Ads,Banner,2025-02-20,2025-07-18,Completed,15039.75,884.69,22423,4096,0.1827,0.59,19,0.0046,127.19,Custom Audience,18-34,Female,2416.64,3.37
100,Decentralized logistical challenge Suddenly Ad Campaign,Twitter,Video,2025-01-17,2025-05-01,Scheduled,21983.26,1157.01,451,16,0.0355,3.14,0,0.0,0.0,Behavioral,45-54,Male,50.24,0.0
